Race_Ethc_Visa,Gender,HSGPA,SAT_Total,Entry_Term,Term.GPA,Persistence.NextYear,N.RegisteredCourse,N.Ws,N.DFs,N.As,N.PassedCourse,N.CourseTaken,Perc.PassedEnrolledCourse,Perc.Pass,Perc.Withd,N.GraduateCourse,FullTimeStudent
White,Female,65,1141,2141,3.84,1,4,0,0,1,4,4,1,1,0,0,1
Asian,Female,83,1460,2141,2.32,1,3,0,0,2,3,3,1,1,0,0,1
Hispanic,Male,69,1319,2141,2.32,1,6,0,0,0,6,6,1,1,0,1,1
Hispanic,Female,70,1478,2141,3.13,1,2,0,0,1,2,2,1,1,0,0,0
White,Female,59,980,2141,2.69,1,6,0,0,0,6,6,1,1,0,0,1
Hispanic,Female,73,1224,2141,3.87,1,7,0,0,2,7,7,1,1,0,1,1
Afram,Female,72,1093,2141,1.53,0,4,0,0,3,4,4,1,1,0,0,1
Asian,Male,98,1156,2141,3.11,1,2,0,0,0,2,2,1,1,0,1,0
Hispanic,Female,70,1254,2141,1.63,1,1,0,0,0,1,1,1,1,0,0,0
White,Female,86,1410,2131,3.04,1,6,3,0,1,3,3,0.5,1,0.5,1,1
Multi,Female,67,1469,2141,3.82,1,3,0,0,0,3,3,1,1,0,0,1
White,Male,88,1325,2141,2.11,1,2,0,0,0,2,2,1,1,0,0,0
White,Female,60,1578,2141,1.18,1,3,0,0,0,3,3,1,1,0,2,1
White,Male,99,945,2141,3.06,1,4,0,0,0,4,4,1,1,0,1,1
Hispanic,Female,52,999,2141,1.23,0,3,0,0,0,3,3,1,1,0,0,1
Multi,Male,75,968,2141,3.45,1,2,0,0,1,2,2,1,1,0,1,0
Multi,Male,75,1053,2141,2.16,1,1,0,0,0,1,1,1,1,0,0,0
Afram,Male,60,1436,2141,1.16,0,2,0,0,1,2,2,1,1,0,0,0
Hispanic,Female,87,1245,2141,1.57,1,4,0,0,0,4,4,1,1,0,1,1
Hispanic,Male,75,1509,2141,2.5,1,3,0,0,0,3,3,1,1,0,1,1
Afram,Male,86,1171,2131,3.36,1,7,6,0,0,1,1,0.142857143,1,0.857142857,2,0
Asian,Female,77,1067,2141,1.69,0,2,0,0,0,2,2,1,1,0,0,0
Afram,Male,81,1357,2141,0.62,0,3,0,0,0,3,3,1,1,0,2,1
Multi,Female,69,1131,2141,3.43,1,3,0,0,0,3,3,1,1,0,2,1
Multi,Male,73,1358,2141,2.31,1,5,0,0,1,5,5,1,1,0,1,1
White,Male,98,1513,2141,1.84,1,1,0,0,0,1,1,1,1,0,1,0
Hispanic,Male,53,956,2141,2.37,0,5,0,0,1,5,5,1,1,0,1,1
White,Female,91,1393,2141,2.27,1,6,0,0,3,6,6,1,1,0,2,1
Afram,Female,91,1337,2141,2.32,1,3,0,0,1,3,3,1,1,0,0,1
Afram,Male,56,1145,2141,3.5,1,2,0,0,0,2,2,1,1,0,0,0
Asian,Female,60,1202,2141,3.79,1,7,0,0,1,7,7,1,1,0,1,1
Afram,Male,74,1217,2131,2.47,1,6,4,0,1,2,2,0.333333333,1,0.666666667,2,0
White,Male,56,1499,2141,1.68,1,4,0,0,1,4,4,1,1,0,0,1
Afram,Female,72,1584,2141,3.93,1,4,0,0,1,4,4,1,1,0,2,1
White,Female,69,1314,2141,1.39,1,7,0,0,1,7,7,1,1,0,0,1
White,Male,92,1079,2141,1.35,1,3,0,0,0,3,3,1,1,0,0,1
Afram,Female,90,1411,2141,3.46,1,2,0,0,0,2,2,1,1,0,0,0
Hispanic,Male,75,1583,2141,0.81,0,3,0,0,0,3,3,1,1,0,0,1
Afram,Female,78,1433,2141,3.57,1,5,0,0,3,5,5,1,1,0,1,1
Multi,Female,67,993,2141,3.17,0,5,0,0,0,5,5,1,1,0,3,1
Afram,Female,73,1240,2141,1.94,1,7,0,0,2,7,7,1,1,0,2,1
Hispanic,Male,82,1544,2141,3.07,1,3,0,0,0,3,3,1,1,0,0,1
White,Male,98,1083,2131,3.83,1,3,0,0,2,3,3,1,1,0,1,1
Hispanic,Male,71,1598,2131,3.18,1,3,1,0,1,2,2,0.666666667,1,0.333333333,0,0
Asian,Male,81,1209,2141,1.26,0,6,0,0,2,6,6,1,1,0,1,1
Hispanic,Female,90,1046,2141,1.71,0,1,0,0,0,1,1,1,1,0,0,0
Hispanic,Male,82,1242,2141,1.31,1,4,0,0,0,4,4,1,1,0,0,1
Asian,Male,75,1213,2141,0.84,0,4,0,0,0,4,4,1,1,0,1,1
Afram,Male,79,935,2141,1.95,0,3,0,0,0,3,3,1,1,0,0,1
Asian,Male,77,1467,2141,3.07,1,2,0,0,0,2,2,1,1,0,1,0
Multi,Female,84,1098,2141,0.79,0,7,0,0,0,7,7,1,1,0,0,1
Hispanic,Female,98,1590,2141,3.99,1,4,0,0,0,4,4,1,1,0,1,1
Multi,Female,75,1035,2141,1.12,0,4,0,0,0,4,4,1,1,0,2,1
Multi,Male,72,1444,2141,2.65,1,5,0,0,0,5,5,1,1,0,2,1
White,Female,90,1594,2131,0.85,0,5,1,0,1,4,4,0.8,1,0.2,4,1
Afram,Male,88,954,2141,2.58,1,4,0,0,0,4,4,1,1,0,0,1
White,Female,56,1563,2141,2.62,1,9,0,0,1,9,9,1,1,0,1,1
Multi,Male,100,1456,2141,1.56,1,2,0,2,0,0,2,0,0,0,0,0
White,Male,59,1556,2141,1.37,1,2,0,1,0,1,2,0.5,0.5,0,0,0
White,Female,64,982,2141,1.12,0,5,0,2,1,3,5,0.6,0.6,0,1,1
Asian,Male,72,1477,2141,1.41,1,4,0,1,1,3,4,0.75,0.75,0,0,1
White,Male,67,1039,2141,1.64,1,6,3,1,1,2,3,0.333333333,0.666666667,0.5,2,1
Afram,Female,98,1157,2141,3.45,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,1,0
Hispanic,Male,57,979,2141,2.18,1,5,0,2,0,3,5,0.6,0.6,0,2,1
Afram,Male,57,994,2141,2.49,1,4,1,1,1,2,3,0.5,0.666666667,0.25,0,1
Asian,Female,83,1061,2141,0.88,0,6,1,3,2,2,5,0.333333333,0.4,0.166666667,2,1
White,Female,74,1591,2141,3.1,1,6,2,1,1,3,4,0.5,0.75,0.333333333,2,1
White,Male,50,1133,2141,0.54,0,3,1,0,0,2,2,0.666666667,1,0.333333333,1,0
Afram,Male,88,1013,2141,2.28,1,3,0,2,0,1,3,0.333333333,0.333333333,0,1,1
Hispanic,Male,50,1368,2141,1.7,0,4,0,1,1,3,4,0.75,0.75,0,1,1
Asian,Female,71,1325,2141,2.18,1,4,0,1,0,3,4,0.75,0.75,0,1,1
White,Female,92,1017,2141,3.9,1,2,0,2,0,0,2,0,0,0,0,0
Afram,Male,68,1034,2141,2.26,1,2,0,1,1,1,2,0.5,0.5,0,0,0
White,Female,57,1013,2141,2.96,1,4,1,0,1,3,3,0.75,1,0.25,0,1
Asian,Male,75,1093,2141,0.64,0,3,1,0,0,2,2,0.666666667,1,0.333333333,0,0
Asian,Female,88,1408,2141,1.82,1,2,0,2,0,0,2,0,0,0,0,0
Afram,Male,74,1220,2141,1.99,1,2,0,0,0,2,2,1,1,0,1,0
Multi,Male,74,1361,2141,1.73,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
White,Female,69,1391,2141,3.59,1,4,1,2,0,1,3,0.25,0.333333333,0.25,0,1
Hispanic,Female,57,1156,2141,2.17,1,3,0,1,1,2,3,0.666666667,0.666666667,0,2,1
Multi,Female,77,985,2141,1.39,1,4,0,1,2,3,4,0.75,0.75,0,1,1
Multi,Male,63,1457,2141,2.73,1,5,0,3,0,2,5,0.4,0.4,0,0,1
White,Female,70,1339,2141,2.04,1,2,0,1,0,1,2,0.5,0.5,0,0,0
White,Female,60,912,2141,2.99,1,3,1,0,0,2,2,0.666666667,1,0.333333333,0,0
Multi,Female,87,972,2141,0.93,1,6,0,1,2,5,6,0.833333333,0.833333333,0,1,1
Hispanic,Female,92,1121,2131,2.49,1,3,1,0,0,2,2,0.666666667,1,0.333333333,0,0
White,Male,71,911,2141,2.08,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,1,0
Hispanic,Male,92,1288,2141,2.11,1,6,4,0,0,2,2,0.333333333,1,0.666666667,0,0
Multi,Female,60,1411,2141,1.9,1,4,1,2,1,1,3,0.25,0.333333333,0.25,1,1
Asian,Female,55,1089,2141,2.91,1,2,0,1,1,1,2,0.5,0.5,0,0,0
White,Female,94,1146,2141,3.55,1,2,0,0,1,2,2,1,1,0,0,0
White,Male,60,1455,2141,2.09,1,3,0,0,1,3,3,1,1,0,0,1
Asian,Male,97,1275,2141,3.91,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Multi,Female,90,1443,2141,0.64,0,4,2,0,1,2,2,0.5,1,0.5,2,0
Afram,Male,72,1207,2141,0.65,0,1,0,0,1,1,1,1,1,0,1,0
Afram,Female,94,1230,2141,1.78,1,4,1,1,1,2,3,0.5,0.666666667,0.25,1,1
Hispanic,Male,73,1235,2131,1.58,1,3,1,0,1,2,2,0.666666667,1,0.333333333,0,0
Hispanic,Male,70,1106,2141,3.52,1,5,1,1,0,3,4,0.6,0.75,0.2,1,1
White,Female,95,1195,2141,2.38,1,4,0,0,1,4,4,1,1,0,1,1
Hispanic,Male,96,986,2141,1.36,1,8,3,2,2,3,5,0.375,0.6,0.375,1,1
Multi,Female,74,1093,2141,1.3,1,4,1,1,0,2,3,0.5,0.666666667,0.25,2,1
Afram,Female,83,1030,2141,3.04,1,2,0,1,1,1,2,0.5,0.5,0,0,0
Asian,Male,77,1463,2141,1.28,1,3,0,3,0,0,3,0,0,0,0,1
White,Female,94,1556,2141,3.48,1,4,0,3,1,1,4,0.25,0.25,0,3,1
Multi,Male,63,1206,2141,1.28,1,1,0,1,0,0,1,0,0,0,1,0
Asian,Male,92,1440,2141,0.88,1,3,1,0,0,2,2,0.666666667,1,0.333333333,0,0
White,Female,85,928,2141,1.87,1,5,0,2,1,3,5,0.6,0.6,0,0,1
White,Female,86,1209,2131,1.35,1,1,0,0,1,1,1,1,1,0,0,0
White,Female,91,937,2141,3.95,1,8,1,3,1,4,7,0.5,0.571428571,0.125,1,1
Afram,Male,89,1151,2141,1.17,1,4,0,1,0,3,4,0.75,0.75,0,1,1
Asian,Female,63,942,2141,3.28,1,2,0,1,1,1,2,0.5,0.5,0,1,0
Multi,Male,55,956,2141,0.62,0,3,1,2,0,0,2,0,0,0.333333333,0,0
Multi,Female,86,1195,2141,2.03,1,7,4,1,1,2,3,0.285714286,0.666666667,0.571428571,2,1
Multi,Female,76,1017,2141,3.43,1,5,2,0,2,3,3,0.6,1,0.4,1,1
Afram,Female,56,1346,2141,3.7,1,5,1,2,0,2,4,0.4,0.5,0.2,2,1
Afram,Female,74,1295,2141,1.23,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,0,0
Hispanic,Male,76,1135,2141,2.57,1,3,0,1,1,2,3,0.666666667,0.666666667,0,0,1
White,Male,81,1579,2141,0.88,1,6,0,3,0,3,6,0.5,0.5,0,1,1
Afram,Male,93,1278,2131,1.08,1,3,1,0,0,2,2,0.666666667,1,0.333333333,0,0
Hispanic,Male,66,908,2141,3.34,1,10,1,4,2,5,9,0.5,0.555555556,0.1,3,1
White,Female,99,1028,2141,2.86,1,2,0,2,0,0,2,0,0,0,0,0
Afram,Male,76,1236,2141,2.52,1,4,0,3,0,1,4,0.25,0.25,0,0,1
Hispanic,Male,60,1539,2141,2.29,1,4,1,3,0,0,3,0,0,0.25,1,1
Afram,Female,83,1531,2141,1.46,1,2,0,0,0,2,2,1,1,0,2,0
White,Female,63,1073,2141,1.79,1,4,0,2,1,2,4,0.5,0.5,0,1,1
Multi,Male,57,970,2141,1.68,1,4,1,3,0,0,3,0,0,0.25,0,1
White,Female,61,967,2141,0.99,1,6,3,0,2,3,3,0.5,1,0.5,0,1
Multi,Male,73,1587,2141,2.73,1,5,1,1,1,3,4,0.6,0.75,0.2,1,1
Afram,Female,99,970,2141,1.5,1,5,0,1,2,4,5,0.8,0.8,0,0,1
Asian,Female,90,1447,2131,1.16,1,3,2,0,0,1,1,0.333333333,1,0.666666667,0,0
Afram,Male,80,1421,2141,2.34,1,1,0,1,0,0,1,0,0,0,0,0
Asian,Female,74,1406,2141,0.98,1,3,1,0,1,2,2,0.666666667,1,0.333333333,2,0
Multi,Male,96,1202,2141,2.52,1,5,0,4,0,1,5,0.2,0.2,0,0,1
Multi,Male,57,958,2141,1.11,1,4,1,1,0,2,3,0.5,0.666666667,0.25,1,1
White,Female,74,1426,2141,1.68,1,5,0,2,1,3,5,0.6,0.6,0,2,1
Hispanic,Female,66,1474,2141,0.55,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Afram,Male,77,1385,2141,3.38,1,5,0,3,1,2,5,0.4,0.4,0,1,1
White,Male,85,1068,2141,1.79,1,1,0,0,0,1,1,1,1,0,0,0
Multi,Female,84,962,2141,2.87,1,4,1,1,1,2,3,0.5,0.666666667,0.25,2,1
Asian,Male,78,963,2141,2.92,1,1,0,0,0,1,1,1,1,0,1,0
Afram,Female,97,1399,2131,2.99,1,2,2,0,0,0,0,0,NA,1,0,0
Asian,Female,83,1118,2141,3.07,1,4,0,3,0,1,4,0.25,0.25,0,0,1
Multi,Male,72,1226,2141,2.51,1,3,0,0,0,3,3,1,1,0,0,1
Multi,Male,84,1238,2141,2.61,1,2,0,0,1,2,2,1,1,0,0,0
Asian,Female,82,954,2141,3.93,1,2,0,2,0,0,2,0,0,0,1,0
Hispanic,Female,100,1559,2141,2.62,1,3,1,0,2,2,2,0.666666667,1,0.333333333,0,0
White,Male,87,1455,2141,2.35,1,5,2,2,1,1,3,0.2,0.333333333,0.4,1,1
White,Female,97,963,2141,3.77,1,7,2,3,0,2,5,0.285714286,0.4,0.285714286,4,1
White,Female,75,934,2141,1.71,1,3,1,0,0,2,2,0.666666667,1,0.333333333,1,0
Afram,Male,68,958,2141,2.62,1,6,1,1,1,4,5,0.666666667,0.8,0.166666667,3,1
Afram,Male,88,1055,2141,3.56,1,3,0,0,1,3,3,1,1,0,0,1
Multi,Male,83,1053,2131,2.67,1,8,3,0,1,5,5,0.625,1,0.375,1,1
White,Female,100,1300,2141,1.35,1,4,2,0,0,2,2,0.5,1,0.5,1,0
Hispanic,Male,70,904,2141,1.15,1,5,0,4,1,1,5,0.2,0.2,0,0,1
Hispanic,Male,100,1264,2141,3.91,1,7,0,0,1,7,7,1,1,0,0,1
Asian,Male,93,1405,2141,3.04,1,2,1,1,0,0,1,0,0,0.5,0,0
White,Male,62,1092,2141,0.57,1,5,2,0,3,3,3,0.6,1,0.4,1,1
Asian,Male,71,1420,2141,3.99,1,1,1,0,0,0,0,0,NA,1,0,0
Asian,Female,62,1407,2141,2.28,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,0,0
White,Female,92,1242,2141,2.03,1,4,1,1,1,2,3,0.5,0.666666667,0.25,1,1
Asian,Male,76,1215,2141,2.75,1,1,0,0,0,1,1,1,1,0,0,0
Hispanic,Male,99,1230,2141,0.56,1,2,0,0,1,2,2,1,1,0,1,0
Hispanic,Male,71,1039,2131,2.16,1,6,3,0,2,3,3,0.5,1,0.5,1,1
Asian,Female,93,1503,2141,1.83,1,4,1,1,1,2,3,0.5,0.666666667,0.25,0,1
Afram,Female,70,1163,2141,3.29,1,8,1,1,2,6,7,0.75,0.857142857,0.125,2,1
White,Male,70,1004,2141,3.23,1,3,0,1,0,2,3,0.666666667,0.666666667,0,2,1
White,Male,70,912,2141,3.92,1,4,1,0,0,3,3,0.75,1,0.25,0,1
Asian,Female,58,1261,2141,0.78,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Afram,Male,66,1365,2141,1.08,1,6,2,1,1,3,4,0.5,0.75,0.333333333,0,1
Hispanic,Male,50,1480,2141,0.73,0,2,1,0,0,1,1,0.5,1,0.5,0,0
Asian,Female,81,1105,2141,0.72,1,4,2,0,1,2,2,0.5,1,0.5,1,0
Multi,Male,87,951,2141,2.75,1,4,1,1,0,2,3,0.5,0.666666667,0.25,1,1
Hispanic,Female,71,1533,2141,3.72,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Asian,Female,92,1034,2131,0.88,1,5,4,0,0,1,1,0.2,1,0.8,0,0
Multi,Female,82,1313,2141,1.78,1,7,2,2,0,3,5,0.428571429,0.6,0.285714286,3,1
Asian,Male,95,1382,2141,2.82,1,5,2,1,0,2,3,0.4,0.666666667,0.4,0,1
Afram,Female,60,1263,2141,2.92,1,3,0,2,0,1,3,0.333333333,0.333333333,0,1,1
Afram,Male,94,1519,2141,1.55,1,5,0,1,0,4,5,0.8,0.8,0,0,1
Multi,Female,77,1508,2141,3.85,1,4,1,1,1,2,3,0.5,0.666666667,0.25,0,1
White,Female,99,1149,2141,3.7,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,0,0
Afram,Female,100,1176,2141,3.6,1,7,1,2,1,4,6,0.571428571,0.666666667,0.142857143,1,1
Hispanic,Female,80,1288,2141,2.88,1,2,1,1,0,0,1,0,0,0.5,1,0
Hispanic,Female,82,1581,2141,1.15,1,2,0,1,1,1,2,0.5,0.5,0,1,0
White,Male,76,1357,2141,2.15,1,2,0,1,1,1,2,0.5,0.5,0,0,0
Afram,Male,76,1405,2131,3.17,1,4,0,0,3,4,4,1,1,0,0,1
Hispanic,Male,66,1102,2141,3.01,1,4,1,0,0,3,3,0.75,1,0.25,1,1
Multi,Male,98,1342,2141,0.98,1,5,1,0,2,4,4,0.8,1,0.2,2,1
White,Male,63,1417,2141,1.87,1,3,1,0,1,2,2,0.666666667,1,0.333333333,1,0
Hispanic,Female,85,963,2141,3.13,1,5,0,2,1,3,5,0.6,0.6,0,2,1
Asian,Female,99,1261,2141,0.91,1,4,1,2,0,1,3,0.25,0.333333333,0.25,0,1
Hispanic,Female,79,1199,2141,1.43,1,6,1,0,3,5,5,0.833333333,1,0.166666667,1,1
Hispanic,Male,100,1222,2141,3.09,1,2,1,0,0,1,1,0.5,1,0.5,0,0
Multi,Male,72,998,2141,3.89,1,6,1,2,1,3,5,0.5,0.6,0.166666667,2,1
Afram,Female,64,1329,2141,2.35,1,2,0,1,0,1,2,0.5,0.5,0,1,0
Asian,Female,72,1541,2141,1.91,1,5,1,1,0,3,4,0.6,0.75,0.2,1,1
Asian,Female,72,1244,2131,3.77,1,4,3,0,1,1,1,0.25,1,0.75,1,0
Afram,Female,72,1409,2141,2.4,1,1,0,0,1,1,1,1,1,0,1,0
White,Female,60,924,2141,3.51,1,3,1,0,1,2,2,0.666666667,1,0.333333333,0,0
Afram,Male,68,1497,2141,2.98,1,7,2,1,3,4,5,0.571428571,0.8,0.285714286,3,1
White,Female,62,1372,2141,3.63,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,0,0
Hispanic,Female,91,1163,2141,2.43,1,3,0,2,1,1,3,0.333333333,0.333333333,0,3,1
Hispanic,Male,75,1051,2141,1.53,1,4,0,2,0,2,4,0.5,0.5,0,0,1
Afram,Female,71,1521,2141,2.76,1,1,0,1,0,0,1,0,0,0,1,0
Asian,Male,93,1575,2141,1.04,1,4,1,1,0,2,3,0.5,0.666666667,0.25,0,1
White,Male,96,1553,2141,2.14,1,2,0,1,1,1,2,0.5,0.5,0,0,0
Asian,Male,55,1497,2141,3.72,1,2,0,2,0,0,2,0,0,0,1,0
Afram,Female,65,1198,2141,2.66,1,2,0,1,0,1,2,0.5,0.5,0,1,0
Multi,Female,99,1365,2141,1.35,1,4,1,1,0,2,3,0.5,0.666666667,0.25,1,1
White,Female,63,1583,2141,3.28,1,1,0,0,1,1,1,1,1,0,0,0
Hispanic,Female,90,1136,2141,0.72,0,3,1,1,0,1,2,0.333333333,0.5,0.333333333,1,0
Hispanic,Female,84,1080,2141,2.2,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,0,0
Hispanic,Male,63,1296,2141,1.38,1,1,0,0,1,1,1,1,1,0,0,0
Multi,Female,66,1061,2141,1.51,1,3,0,1,0,2,3,0.666666667,0.666666667,0,0,1
White,Female,100,1119,2141,2.41,1,1,0,1,0,0,1,0,0,0,0,0
Hispanic,Male,64,1444,2141,1.86,1,4,0,2,1,2,4,0.5,0.5,0,0,1
White,Female,92,1515,2141,3.13,1,5,2,2,0,1,3,0.2,0.333333333,0.4,0,1
White,Female,99,1486,2131,1.06,1,3,3,0,0,0,0,0,NA,1,0,0
Afram,Female,100,1150,2141,0.99,1,4,0,2,0,2,4,0.5,0.5,0,1,1
White,Female,86,1159,2141,2.35,1,2,0,0,0,2,2,1,1,0,1,0
Afram,Male,72,1302,2141,1.24,1,4,1,2,0,1,3,0.25,0.333333333,0.25,0,1
Afram,Female,70,1048,2141,3.32,1,2,0,0,0,2,2,1,1,0,0,0
White,Female,65,1449,2141,3.81,1,6,1,3,2,2,5,0.333333333,0.4,0.166666667,0,1
Afram,Female,80,1472,2141,2.12,1,3,1,2,0,0,2,0,0,0.333333333,0,0
Afram,Female,65,1383,2141,2.04,1,2,0,2,0,0,2,0,0,0,0,0
Asian,Female,68,1505,2141,3.92,1,4,0,4,0,0,4,0,0,0,0,1
Afram,Female,67,1102,2141,1.23,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,0,0
Afram,Female,74,1420,2141,2.99,1,5,1,2,0,2,4,0.4,0.5,0.2,0,1
Afram,Male,81,1181,2131,1.6,1,3,0,0,2,3,3,1,1,0,0,1
Multi,Female,59,1589,2141,3.01,1,5,0,2,0,3,5,0.6,0.6,0,0,1
Afram,Male,62,1499,2141,2.73,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Multi,Female,68,1117,2141,2.9,1,4,1,2,0,1,3,0.25,0.333333333,0.25,2,1
Hispanic,Male,74,1076,2141,3.76,1,5,2,3,0,0,3,0,0,0.4,0,1
Multi,Female,67,1535,2141,0.82,0,7,2,2,1,3,5,0.428571429,0.6,0.285714286,2,1
Multi,Female,96,1203,2141,2.84,1,2,0,1,1,1,2,0.5,0.5,0,0,0
Asian,Female,88,1564,2141,2.01,1,4,0,2,0,2,4,0.5,0.5,0,1,1
Asian,Male,70,1053,2141,3.87,1,3,0,0,1,3,3,1,1,0,2,1
Multi,Male,71,1026,2141,0.88,1,4,1,1,1,2,3,0.5,0.666666667,0.25,1,1
Hispanic,Male,65,1333,2141,1.91,1,2,0,0,1,2,2,1,1,0,0,0
Multi,Male,90,1495,2131,3.96,1,2,2,0,0,0,0,0,NA,1,0,0
White,Female,75,905,2141,2.3,1,1,0,0,0,1,1,1,1,0,0,0
Hispanic,Male,71,1394,2141,2.6,1,5,0,2,0,3,5,0.6,0.6,0,1,1
Hispanic,Female,70,1115,2141,1.44,1,2,1,0,0,1,1,0.5,1,0.5,0,0
Multi,Female,78,1193,2141,2.12,1,7,0,4,1,3,7,0.428571429,0.428571429,0,2,1
White,Female,84,1143,2141,3.09,1,7,0,3,3,4,7,0.571428571,0.571428571,0,2,1
White,Female,67,1423,2141,3.11,1,4,0,1,1,3,4,0.75,0.75,0,0,1
Hispanic,Female,85,1097,2141,0.64,1,3,2,1,0,0,1,0,0,0.666666667,0,0
White,Male,59,922,2141,1.44,1,1,1,0,0,0,0,0,NA,1,0,0
Hispanic,Female,65,1164,2141,0.61,0,2,0,2,0,0,2,0,0,0,2,0
White,Male,85,1225,2141,1.48,1,2,0,1,1,1,2,0.5,0.5,0,0,0
Afram,Female,75,1579,2131,1.61,1,3,1,0,1,2,2,0.666666667,1,0.333333333,0,0
Multi,Female,86,1022,2141,2.91,1,3,2,0,1,1,1,0.333333333,1,0.666666667,0,0
White,Female,50,1359,2141,0.71,0,2,0,1,1,1,2,0.5,0.5,0,0,0
Afram,Female,86,921,2141,3.04,1,2,1,1,0,0,1,0,0,0.5,0,0
White,Male,81,1412,2141,0.91,1,4,2,1,1,1,2,0.25,0.5,0.5,1,0
Afram,Male,58,1226,2141,3.57,1,3,1,0,2,2,2,0.666666667,1,0.333333333,0,0
Hispanic,Male,58,1127,2141,1.68,1,8,1,0,5,7,7,0.875,1,0.125,1,1
Afram,Female,93,1357,2141,2.79,1,2,0,0,2,2,2,1,1,0,1,0
Hispanic,Female,76,1336,2141,2.21,1,6,1,0,1,5,5,0.833333333,1,0.166666667,2,1
Multi,Male,70,946,2141,2.22,1,2,0,0,1,2,2,1,1,0,1,0
Asian,Female,56,1392,2141,2.71,1,5,2,0,3,3,3,0.6,1,0.4,0,1
Asian,Female,87,1053,2131,0.54,1,4,2,0,2,2,2,0.5,1,0.5,2,0
White,Male,72,1108,2131,2.43,1,4,2,0,0,2,2,0.5,1,0.5,0,0
Asian,Female,68,948,2141,0.75,0,2,1,0,0,1,1,0.5,1,0.5,0,0
Asian,Female,67,1159,2141,2,1,4,1,0,0,3,3,0.75,1,0.25,2,1
Hispanic,Female,55,1454,2141,3.43,1,8,1,0,7,7,7,0.875,1,0.125,1,1
White,Male,74,1560,2141,3.78,1,4,0,0,3,4,4,1,1,0,2,1
Afram,Male,81,1531,2141,3.78,1,2,1,0,1,1,1,0.5,1,0.5,0,0
Multi,Female,55,1334,2141,1.48,1,2,1,0,0,1,1,0.5,1,0.5,0,0
Afram,Male,59,1030,2141,3.44,1,1,0,0,1,1,1,1,1,0,0,0
Multi,Female,59,950,2141,3.06,1,3,0,0,3,3,3,1,1,0,1,1
Afram,Male,69,1484,2141,1.02,1,1,0,0,1,1,1,1,1,0,0,0
Multi,Male,70,1305,2141,2.47,1,1,0,0,1,1,1,1,1,0,0,0
Asian,Female,74,1279,2131,2.07,1,3,1,0,0,2,2,0.666666667,1,0.333333333,0,0
Multi,Female,73,1159,2141,3.55,1,3,0,0,0,3,3,1,1,0,0,1
Multi,Female,89,1224,2141,2.04,1,7,0,0,5,7,7,1,1,0,0,1
Hispanic,Male,58,929,2141,1.63,1,4,0,0,3,4,4,1,1,0,0,1
Asian,Female,67,1283,2141,0.79,0,4,1,0,2,3,3,0.75,1,0.25,0,1
White,Female,95,1183,2141,2.64,1,3,1,0,1,2,2,0.666666667,1,0.333333333,0,0
Multi,Male,82,1018,2141,1.3,1,4,0,0,3,4,4,1,1,0,1,1
Afram,Female,65,941,2141,3.26,1,2,0,0,0,2,2,1,1,0,1,0
Asian,Male,75,1179,2141,3.55,1,6,2,0,3,4,4,0.666666667,1,0.333333333,1,1
Multi,Male,90,1474,2141,1.48,1,4,1,0,2,3,3,0.75,1,0.25,1,1
White,Male,78,1085,2141,1.42,1,2,1,0,0,1,1,0.5,1,0.5,1,0
White,Male,74,1421,2141,2.98,1,4,1,0,1,3,3,0.75,1,0.25,0,1
Afram,Male,85,1482,2141,0.6,0,2,0,0,1,2,2,1,1,0,1,0
Afram,Female,84,1383,2141,0.51,0,4,0,0,1,4,4,1,1,0,2,1
White,Female,89,1432,2141,0.64,1,1,0,0,0,1,1,1,1,0,0,0
Afram,Male,85,1368,2141,2.67,1,7,2,0,3,5,5,0.714285714,1,0.285714286,3,1
Asian,Female,82,1410,2141,2.87,1,3,0,0,2,3,3,1,1,0,1,1
Afram,Female,100,1182,2141,3.84,1,2,0,0,2,2,2,1,1,0,0,0
White,Male,76,1514,2141,3.92,1,6,3,0,3,3,3,0.5,1,0.5,4,1
Hispanic,Female,80,1449,2141,1.33,1,4,0,0,2,4,4,1,1,0,1,1
Multi,Male,58,1158,2141,3.5,1,3,0,0,2,3,3,1,1,0,0,1
Multi,Male,75,1561,2131,0.66,0,2,1,0,0,1,1,0.5,1,0.5,0,0
Hispanic,Female,74,942,2141,0.51,1,1,0,0,0,1,1,1,1,0,0,0
Hispanic,Female,64,967,2141,3.95,1,5,0,0,2,5,5,1,1,0,3,1
Afram,Female,72,1192,2141,2.49,1,4,1,0,2,3,3,0.75,1,0.25,0,1
Hispanic,Female,65,1040,2141,1.51,1,4,1,0,1,3,3,0.75,1,0.25,2,1
